"filename", "language", "CUDA C++", "C++", "Makefile", "Markdown", "Shell Script", "comment", "blank", "total"
"/home/main/Documents/hila/hilapp/src/contains_random_visitor.cpp", "C++", 0, 54, 0, 0, 0, 21, 17, 92
"/home/main/Documents/hila/hilapp/src/depends_on_site_visitor.cpp", "C++", 0, 74, 0, 0, 0, 33, 31, 138
"/home/main/Documents/hila/hilapp/src/function_contains_loop_visitor.cpp", "C++", 0, 56, 0, 0, 0, 15, 14, 85
"/home/main/Documents/hila/hilapp/src/generalvisitor.cpp", "C++", 0, 403, 0, 0, 0, 117, 140, 660
"/home/main/Documents/hila/hilapp/src/generalvisitor.h", "CUDA C++", 169, 0, 0, 0, 0, 82, 71, 322
"/home/main/Documents/hila/hilapp/src/hilapp.cpp", "C++", 0, 754, 0, 0, 0, 326, 285, 1365
"/home/main/Documents/hila/hilapp/src/hilapp.h", "CUDA C++", 408, 0, 0, 0, 0, 72, 69, 549
"/home/main/Documents/hila/hilapp/src/loop_function.cpp", "C++", 0, 381, 0, 0, 0, 115, 143, 639
"/home/main/Documents/hila/hilapp/src/loop_function_visitor.cpp", "C++", 0, 424, 0, 0, 0, 158, 157, 739
"/home/main/Documents/hila/hilapp/src/optionsparser.cpp", "C++", 0, 49, 0, 0, 0, 29, 15, 93
"/home/main/Documents/hila/hilapp/src/optionsparser.h", "CUDA C++", 27, 0, 0, 0, 0, 36, 13, 76
"/home/main/Documents/hila/hilapp/src/specialization_db.cpp", "C++", 0, 107, 0, 0, 0, 24, 23, 154
"/home/main/Documents/hila/hilapp/src/specialization_db.h", "CUDA C++", 13, 0, 0, 0, 0, 1, 5, 19
"/home/main/Documents/hila/hilapp/src/srcbuf.cpp", "C++", 0, 512, 0, 0, 0, 52, 95, 659
"/home/main/Documents/hila/hilapp/src/srcbuf.h", "CUDA C++", 106, 0, 0, 0, 0, 34, 35, 175
"/home/main/Documents/hila/hilapp/src/stringops.cpp", "C++", 0, 233, 0, 0, 0, 28, 32, 293
"/home/main/Documents/hila/hilapp/src/stringops.h", "CUDA C++", 18, 0, 0, 0, 0, 16, 15, 49
"/home/main/Documents/hila/hilapp/src/toplevelvisitor.cpp", "C++", 0, 1545, 0, 0, 0, 598, 530, 2673
"/home/main/Documents/hila/hilapp/src/toplevelvisitor.h", "CUDA C++", 155, 0, 0, 0, 0, 55, 75, 285
"/home/main/Documents/hila/hilapp/src/vectorization_info.cpp", "C++", 0, 143, 0, 0, 0, 46, 51, 240
"/home/main/Documents/hila/hilapp/src/write_output.cpp", "C++", 0, 51, 0, 0, 0, 2, 9, 62
"/home/main/Documents/hila/libraries/datatypes/array.h", "CUDA C++", 437, 0, 0, 0, 0, 66, 84, 587
"/home/main/Documents/hila/libraries/datatypes/cmplx.h", "CUDA C++", 457, 0, 0, 0, 0, 161, 134, 752
"/home/main/Documents/hila/libraries/datatypes/dagger.h", "CUDA C++", 290, 0, 0, 0, 0, 126, 58, 474
"/home/main/Documents/hila/libraries/datatypes/dtype_tests.cpp", "C++", 0, 14, 0, 0, 0, 3, 2, 19
"/home/main/Documents/hila/libraries/datatypes/matrix.h", "CUDA C++", 963, 0, 0, 0, 0, 213, 207, 1383
"/home/main/Documents/hila/libraries/datatypes/representations.h", "CUDA C++", 246, 0, 0, 0, 0, 97, 38, 381
"/home/main/Documents/hila/libraries/datatypes/scalar.h", "CUDA C++", 111, 0, 0, 0, 0, 29, 36, 176
"/home/main/Documents/hila/libraries/datatypes/sun.h", "CUDA C++", 581, 0, 0, 0, 0, 64, 96, 741
"/home/main/Documents/hila/libraries/datatypes/sun_matrix.h", "CUDA C++", 152, 0, 0, 0, 0, 103, 48, 303
"/home/main/Documents/hila/libraries/datatypes/u1.h", "CUDA C++", 110, 0, 0, 0, 0, 23, 30, 163
"/home/main/Documents/hila/libraries/datatypes/wilson_vector.h", "CUDA C++", 493, 0, 0, 0, 0, 88, 56, 637
"/home/main/Documents/hila/libraries/dirac/Hasenbusch.h", "CUDA C++", 39, 0, 0, 0, 0, 7, 9, 55
"/home/main/Documents/hila/libraries/dirac/conjugate_gradient.h", "CUDA C++", 70, 0, 0, 0, 0, 19, 19, 108
"/home/main/Documents/hila/libraries/dirac/staggered.h", "CUDA C++", 174, 0, 0, 0, 0, 71, 36, 281
"/home/main/Documents/hila/libraries/dirac/wilson.h", "CUDA C++", 206, 0, 0, 0, 0, 67, 41, 314
"/home/main/Documents/hila/libraries/gauge/degauss.h", "CUDA C++", 60, 0, 0, 0, 0, 27, 29, 116
"/home/main/Documents/hila/libraries/gauge/staples.h", "CUDA C++", 21, 0, 0, 0, 0, 14, 9, 44
"/home/main/Documents/hila/libraries/hmc/MRE_guess.h", "CUDA C++", 70, 0, 0, 0, 0, 12, 7, 89
"/home/main/Documents/hila/libraries/hmc/fermion_field.h", "CUDA C++", 268, 0, 0, 0, 0, 54, 56, 378
"/home/main/Documents/hila/libraries/hmc/gauge_field.h", "CUDA C++", 279, 0, 0, 0, 0, 148, 61, 488
"/home/main/Documents/hila/libraries/hmc/hmc.h", "CUDA C++", 39, 0, 0, 0, 0, 13, 15, 67
"/home/main/Documents/hila/libraries/hmc/integrator.h", "CUDA C++", 109, 0, 0, 0, 0, 56, 36, 201
"/home/main/Documents/hila/libraries/hmc/smearing.h", "CUDA C++", 340, 0, 0, 0, 0, 54, 72, 466
"/home/main/Documents/hila/libraries/main.mk", "Makefile", 0, 0, 100, 0, 0, 34, 49, 183
"/home/main/Documents/hila/libraries/plumbing/backend_cpu/defs.h", "CUDA C++", 15, 0, 0, 0, 0, 5, 10, 30
"/home/main/Documents/hila/libraries/plumbing/backend_cpu/field_storage_backend.h", "CUDA C++", 124, 0, 0, 0, 0, 7, 23, 154
"/home/main/Documents/hila/libraries/plumbing/backend_cpu/lattice.h", "CUDA C++", 6, 0, 0, 0, 0, 6, 2, 14
"/home/main/Documents/hila/libraries/plumbing/backend_cuda/cuda_templated_ops.h", "CUDA C++", 179, 0, 0, 0, 0, 59, 60, 298
"/home/main/Documents/hila/libraries/plumbing/backend_cuda/defs.h", "CUDA C++", 112, 0, 0, 0, 0, 44, 58, 214
"/home/main/Documents/hila/libraries/plumbing/backend_cuda/fft_gpu_transform.h", "CUDA C++", 404, 0, 0, 0, 0, 46, 141, 591
"/home/main/Documents/hila/libraries/plumbing/backend_cuda/field_storage_backend.h", "CUDA C++", 345, 0, 0, 0, 0, 47, 66, 458
"/home/main/Documents/hila/libraries/plumbing/backend_cuda/gpu_reduction.h", "CUDA C++", 130, 0, 0, 0, 0, 731, 189, 1050
"/home/main/Documents/hila/libraries/plumbing/backend_cuda/hila_gpu.cpp", "C++", 0, 301, 0, 0, 0, 19, 61, 381
"/home/main/Documents/hila/libraries/plumbing/backend_cuda/lattice.h", "CUDA C++", 31, 0, 0, 0, 0, 14, 16, 61
"/home/main/Documents/hila/libraries/plumbing/backend_cuda/memory_pool.cpp", "C++", 0, 97, 0, 0, 0, 13, 30, 140
"/home/main/Documents/hila/libraries/plumbing/backend_cuda/memory_pool2.cpp", "C++", 0, 282, 0, 0, 0, 73, 78, 433
"/home/main/Documents/hila/libraries/plumbing/backend_vector/defs.h", "CUDA C++", 345, 0, 0, 0, 0, 28, 61, 434
"/home/main/Documents/hila/libraries/plumbing/backend_vector/field_storage_backend.h", "CUDA C++", 295, 0, 0, 0, 0, 59, 66, 420
"/home/main/Documents/hila/libraries/plumbing/backend_vector/field_storage_backend_old.h", "CUDA C++", 150, 0, 0, 0, 0, 17, 29, 196
"/home/main/Documents/hila/libraries/plumbing/backend_vector/hilapp_vector.h", "CUDA C++", 79, 0, 0, 0, 0, 5, 22, 106
"/home/main/Documents/hila/libraries/plumbing/backend_vector/lattice_vector.h", "CUDA C++", 253, 0, 0, 0, 0, 131, 75, 459
"/home/main/Documents/hila/libraries/plumbing/backend_vector/vector_types.h", "CUDA C++", 46, 0, 0, 0, 0, 25, 23, 94
"/home/main/Documents/hila/libraries/plumbing/com_mpi.cpp", "C++", 0, 209, 0, 0, 0, 37, 80, 326
"/home/main/Documents/hila/libraries/plumbing/com_mpi.h", "CUDA C++", 191, 0, 0, 0, 0, 20, 63, 274
"/home/main/Documents/hila/libraries/plumbing/com_single.cpp", "C++", 0, 47, 0, 0, 0, 15, 22, 84
"/home/main/Documents/hila/libraries/plumbing/coordinates.h", "CUDA C++", 322, 0, 0, 0, 0, 93, 82, 497
"/home/main/Documents/hila/libraries/plumbing/defs.h", "CUDA C++", 80, 0, 0, 0, 0, 61, 44, 185
"/home/main/Documents/hila/libraries/plumbing/fft.cpp", "C++", 0, 77, 0, 0, 0, 11, 31, 119
"/home/main/Documents/hila/libraries/plumbing/fft.h", "CUDA C++", 306, 0, 0, 0, 0, 125, 142, 573
"/home/main/Documents/hila/libraries/plumbing/fft_fftw_transform.h", "CUDA C++", 178, 0, 0, 0, 0, 30, 82, 290
"/home/main/Documents/hila/libraries/plumbing/field.h", "CUDA C++", 1314, 0, 0, 0, 0, 309, 310, 1933
"/home/main/Documents/hila/libraries/plumbing/field_io.h", "CUDA C++", 180, 0, 0, 0, 0, 19, 52, 251
"/home/main/Documents/hila/libraries/plumbing/field_storage.h", "CUDA C++", 71, 0, 0, 0, 0, 18, 31, 120
"/home/main/Documents/hila/libraries/plumbing/has_unary_minus.h", "CUDA C++", 17, 0, 0, 0, 0, 8, 9, 34
"/home/main/Documents/hila/libraries/plumbing/hila.h", "CUDA C++", 21, 0, 0, 0, 0, 5, 9, 35
"/home/main/Documents/hila/libraries/plumbing/hilapp_mpi.h", "CUDA C++", 68, 0, 0, 0, 0, 6, 30, 104
"/home/main/Documents/hila/libraries/plumbing/initialize.cpp", "C++", 0, 424, 0, 0, 0, 74, 101, 599
"/home/main/Documents/hila/libraries/plumbing/input.cpp", "C++", 0, 264, 0, 0, 0, 29, 59, 352
"/home/main/Documents/hila/libraries/plumbing/input.h", "CUDA C++", 247, 0, 0, 0, 0, 218, 63, 528
"/home/main/Documents/hila/libraries/plumbing/interface.md", "Markdown", 0, 0, 0, 15, 0, 0, 23, 38
"/home/main/Documents/hila/libraries/plumbing/lattice.cpp", "C++", 0, 518, 0, 0, 0, 219, 185, 922
"/home/main/Documents/hila/libraries/plumbing/lattice.h", "CUDA C++", 303, 0, 0, 0, 0, 62, 87, 452
"/home/main/Documents/hila/libraries/plumbing/logger.h", "CUDA C++", 52, 0, 0, 0, 0, 19, 16, 87
"/home/main/Documents/hila/libraries/plumbing/map_node_layout.cpp", "C++", 0, 78, 0, 0, 0, 42, 35, 155
"/home/main/Documents/hila/libraries/plumbing/memalloc.cpp", "C++", 0, 51, 0, 0, 0, 7, 29, 87
"/home/main/Documents/hila/libraries/plumbing/memalloc.h", "CUDA C++", 8, 0, 0, 0, 0, 5, 6, 19
"/home/main/Documents/hila/libraries/plumbing/mersenne.h", "CUDA C++", 6, 0, 0, 0, 0, 4, 5, 15
"/home/main/Documents/hila/libraries/plumbing/mersenne_inline.cpp", "C++", 0, 58, 0, 0, 0, 40, 16, 114
"/home/main/Documents/hila/libraries/plumbing/mersenne_inline_new.cpp", "C++", 0, 58, 0, 0, 0, 40, 16, 114
"/home/main/Documents/hila/libraries/plumbing/mersenne_newtry.h", "CUDA C++", 5, 0, 0, 0, 0, 4, 3, 12
"/home/main/Documents/hila/libraries/plumbing/params.h", "CUDA C++", 71, 0, 0, 0, 0, 41, 36, 148
"/home/main/Documents/hila/libraries/plumbing/random.cpp", "C++", 0, 85, 0, 0, 0, 44, 48, 177
"/home/main/Documents/hila/libraries/plumbing/random.h", "CUDA C++", 14, 0, 0, 0, 0, 6, 12, 32
"/home/main/Documents/hila/libraries/plumbing/real_var_ops.h", "CUDA C++", 37, 0, 0, 0, 0, 6, 13, 56
"/home/main/Documents/hila/libraries/plumbing/reduction.h", "CUDA C++", 289, 0, 0, 0, 0, 89, 83, 461
"/home/main/Documents/hila/libraries/plumbing/setup_layout_generic.cpp", "C++", 0, 146, 0, 0, 0, 49, 36, 231
"/home/main/Documents/hila/libraries/plumbing/setup_layout_simple.cpp", "C++", 0, 76, 0, 0, 0, 39, 23, 138
"/home/main/Documents/hila/libraries/plumbing/setup_layout_vector.cpp", "C++", 0, 249, 0, 0, 0, 57, 58, 364
"/home/main/Documents/hila/libraries/plumbing/spectraldensity.h", "CUDA C++", 177, 0, 0, 0, 0, 57, 70, 304
"/home/main/Documents/hila/libraries/plumbing/test_gathers.cpp", "C++", 0, 61, 0, 0, 0, 5, 18, 84
"/home/main/Documents/hila/libraries/plumbing/timing.cpp", "C++", 0, 151, 0, 0, 0, 30, 40, 221
"/home/main/Documents/hila/libraries/plumbing/timing.h", "CUDA C++", 35, 0, 0, 0, 0, 42, 20, 97
"/home/main/Documents/hila/libraries/plumbing/type_tools.h", "CUDA C++", 53, 0, 0, 0, 0, 30, 24, 107
"/home/main/Documents/hila/libraries/plumbing/vector_field.h", "CUDA C++", 42, 0, 0, 0, 0, 15, 22, 79
"/home/main/Documents/hila/libraries/plumbing/vectorreduction.h", "CUDA C++", 210, 0, 0, 0, 0, 64, 50, 324
"/home/main/Documents/hila/libraries/target_arch/AVX2.mk", "Makefile", 0, 0, 9, 0, 0, 20, 13, 42
"/home/main/Documents/hila/libraries/target_arch/cuda.mk", "Makefile", 0, 0, 19, 0, 0, 18, 12, 49
"/home/main/Documents/hila/libraries/target_arch/gcc-8.mk", "Makefile", 0, 0, 8, 0, 0, 21, 14, 43
"/home/main/Documents/hila/libraries/target_arch/hip.mk", "Makefile", 0, 0, 11, 0, 0, 23, 14, 48
"/home/main/Documents/hila/libraries/target_arch/hip2.mk", "Makefile", 0, 0, 15, 0, 0, 23, 15, 53
"/home/main/Documents/hila/libraries/target_arch/kale_cuda.mk", "Makefile", 0, 0, 11, 0, 0, 18, 19, 48
"/home/main/Documents/hila/libraries/target_arch/lumi-AVX2.mk", "Makefile", 0, 0, 17, 0, 0, 20, 18, 55
"/home/main/Documents/hila/libraries/target_arch/lumi-hip.mk", "Makefile", 0, 0, 20, 0, 0, 25, 19, 64
"/home/main/Documents/hila/libraries/target_arch/lumi.mk", "Makefile", 0, 0, 16, 0, 0, 19, 18, 53
"/home/main/Documents/hila/libraries/target_arch/mahti-AVX2.mk", "Makefile", 0, 0, 15, 0, 0, 21, 15, 51
"/home/main/Documents/hila/libraries/target_arch/mahti.mk", "Makefile", 0, 0, 15, 0, 0, 19, 17, 51
"/home/main/Documents/hila/libraries/target_arch/mahti_cuda.mk", "Makefile", 0, 0, 18, 0, 0, 29, 17, 64
"/home/main/Documents/hila/libraries/target_arch/openmp.mk", "Makefile", 0, 0, 8, 0, 0, 15, 13, 36
"/home/main/Documents/hila/libraries/target_arch/puhti.mk", "Makefile", 0, 0, 14, 0, 0, 19, 18, 51
"/home/main/Documents/hila/libraries/target_arch/puhti_cuda.mk", "Makefile", 0, 0, 17, 0, 0, 24, 15, 56
"/home/main/Documents/hila/libraries/target_arch/puhti_hip.mk", "Makefile", 0, 0, 21, 0, 0, 25, 20, 66
"/home/main/Documents/hila/libraries/target_arch/tufts.mk", "Makefile", 0, 0, 16, 0, 0, 25, 20, 61
"/home/main/Documents/hila/libraries/target_arch/vanilla-noMPI.mk", "Makefile", 0, 0, 7, 0, 0, 15, 10, 32
"/home/main/Documents/hila/libraries/target_arch/vanilla.mk", "Makefile", 0, 0, 8, 0, 0, 16, 13, 37
"/home/main/Documents/hila/libraries/vectorclass/README.md", "Markdown", 0, 0, 0, 7, 0, 0, 6, 13
"/home/main/Documents/hila/libraries/vectorclass/dispatch_example.cpp", "C++", 0, 45, 0, 0, 0, 44, 20, 109
"/home/main/Documents/hila/libraries/vectorclass/instrset.h", "CUDA C++", 1106, 0, 0, 0, 0, 257, 111, 1474
